name,battingStyle,Batting Avg,Strike rate,bowlingStyle,Bowling Average,Economy,team
ObedMcCoy,Left hand Bat,8,160,Left arm Fast medium,22.727272727272727,9.316770186335404,Royals
JiteshSharma,Right hand Bat,25.857142857142858,159.23753665689148,Not Available,,,Punjab Kings
AndreRussell,Right hand Bat,27.59259259259259,159.18803418803418,Right arm Fast,18.228571428571428,10.235294117647058,KKR
AveshKhan,Right hand Bat,13.5,158.8235294117647,Right arm Fast medium,23.72340425531915,8.341645885286784,Capitals
ShimronHetmyer,Left hand Bat,40.666666666666664,157.2744014732965,Not Available,,,Capitals
DwainePretorius,Right hand Bat,11,157.14285714285714,Right arm Medium fast,39.666666666666664,9.52,Super Kings
NicholasPooran,Left hand Bat,24.3,157.11206896551724,Right arm Offbreak,,,Punjab Kings
DushmanthaChameera,Right hand Bat,10.75,153.57142857142858,Right arm Fast,42.666666666666664,8.727272727272727,Super Giants
LockieFerguson,Right hand Bat,11.5,153.33333333333334,Right arm Fast,28.73076923076923,8.75390625,KKR
PrithviShaw,Right hand Bat,25.46875,153.1954887218045,Right arm Offbreak,,,Capitals
DineshKarthik,Right hand Bat,24.75,152.6431718061674,Right arm Offbreak,,,KKR
YashasviJaiswal,Left hand Bat,34.303030303030305,152.1505376344086,Legbreak,0,36,Royals
EvinLewis,Left hand Bat,28,150.33557046979865,Not Available,,,Royals
JaydevUnadkat,Right hand Bat,18.166666666666668,149.31506849315068,Left arm Medium,45,9,Royals
RinkuSingh,Left hand Bat,49.84615384615385,149.30875576036865,Right arm Offbreak,,,KKR
KyleMayers,Left hand Bat,30.416666666666668,148.3739837398374,Right arm Medium,0,8.428571428571429,Super Giants
ABdeVilliers,Right hand Bat,31.3,148.34123222748815,Right arm Medium,,,RCB
RileeRossouw,Left hand Bat,29.857142857142858,148.22695035460993,Right arm Offbreak,,,Capitals
JosButtler,Right hand Bat,41.916666666666664,146.93281402142162,Not Available,,,Royals
ShardulThakur,Right hand Bat,13.222222222222221,146.9135802469136,Right arm Medium,28.372093023255815,9.44516129032258,Super Kings
ShashankSingh,Right hand Bat,17.25,146.80851063829786,"Right arm Medium, Right arm Offbreak",0,10,Sunrisers
VivrantSharma,Left hand Bat,69,146.80851063829786,Legbreak Googly,0,12.333333333333334,Sunrisers
RovmanPowell,Right hand Bat,19.76923076923077,146.02272727272728,Right arm Medium fast,35,11.666666666666666,Capitals
ShivamDube,Left hand Bat,32.310344827586206,145.95015576323988,Right arm Medium,0,12.142857142857142,Royals
MarcusStoinis,Right hand Bat,26.875,145.27027027027026,Right arm Medium,25.818181818181817,10.142857142857142,Capitals
NehalWadhera,Left hand Bat,26.77777777777778,145.18072289156626,Legbreak,,,Mumbai
BhanukaRajapaksa,Left hand Bat,21.307692307692307,145.0261780104712,Right arm Medium,,,Punjab Kings
SanjuSamson,Right hand Bat,32.6,144.56762749445676,Not Available,,,Royals
TilakVarma,Left hand Bat,38.94736842105263,144.53125,Right arm Offbreak,0,6.666666666666667,Mumbai
ArjunTendulkar,Left hand Bat,13,144.44444444444443,Left arm Medium fast,30.666666666666668,9.35593220338983,Mumbai
